We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Russia/StPetersburg-RII5643S/2020	EPI_ISL_430096	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5644S/2020	EPI_ISL_430097	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5654S/2020	EPI_ISL_430098	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5942S/2020	EPI_ISL_430099	2020-04-13	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII6027S/2020	EPI_ISL_430100	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII6031S/2020	EPI_ISL_430101	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII6039S/2020	EPI_ISL_430102	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6043S/2020	EPI_ISL_430103	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6053S/2020	EPI_ISL_430104	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII6055S/2020	EPI_ISL_430105	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII6056S/2020	EPI_ISL_430106	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6060S/2020	EPI_ISL_430107	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6061S/2020	EPI_ISL_430108	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII6063S/2020	EPI_ISL_430109	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6065S/2020	EPI_ISL_430110	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII6086S/2020	EPI_ISL_430111	2020-04-15	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/England/SHEF-C3115/2020	EPI_ISL_432762	2020-04-15	Europe / United Kingdom / England	Human	Original			OXFORD_NANOPORE GRIDION	unknown			B.1	G
hCoV-19/England/SHEF-C3CC9/2020	EPI_ISL_432780	2020-04-15	Europe / United Kingdom / England	Human	Original			OXFORD_NANOPORE GRIDION	unknown			B.1.1	GR
hCoV-19/Scotland/EDB1642/2020	EPI_ISL_433101	2020-04-14	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1647/2020	EPI_ISL_433104	2020-04-14	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.8	GR
hCoV-19/Scotland/EDB1655/2020	EPI_ISL_433107	2020-04-14	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1	GR
hCoV-19/Scotland/EDB1656/2020	EPI_ISL_433108	2020-04-14	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1663/2020	EPI_ISL_433110	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1671/2020	EPI_ISL_433112	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.71	G
hCoV-19/Scotland/EDB1674/2020	EPI_ISL_433113	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1677/2020	EPI_ISL_433114	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.40	GH
hCoV-19/Scotland/EDB1679/2020	EPI_ISL_433115	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1681/2020	EPI_ISL_433116	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1683/2020	EPI_ISL_433117	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.14	GR
hCoV-19/Scotland/EDB1693/2020	EPI_ISL_433118	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1694/2020	EPI_ISL_433119	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.40	GH
hCoV-19/Scotland/EDB1697/2020	EPI_ISL_433120	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1700/2020	EPI_ISL_433121	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1701/2020	EPI_ISL_433122	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.40	GH
hCoV-19/Scotland/EDB1704/2020	EPI_ISL_433123	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.71	G
hCoV-19/Scotland/EDB1707/2020	EPI_ISL_433125	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1711/2020	EPI_ISL_433126	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1717/2020	EPI_ISL_433127	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.40	GH
hCoV-19/Scotland/EDB1725/2020	EPI_ISL_433129	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1730/2020	EPI_ISL_433130	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1738/2020	EPI_ISL_433132	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1740/2020	EPI_ISL_433133	2020-04-15	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1811/2020	EPI_ISL_433135	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1812/2020	EPI_ISL_433136	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1813/2020	EPI_ISL_433137	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.71	G
hCoV-19/Scotland/EDB1816/2020	EPI_ISL_433139	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1817/2020	EPI_ISL_433140	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.p11	G
hCoV-19/Scotland/EDB1819/2020	EPI_ISL_433141	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.4	GR
hCoV-19/Scotland/EDB1820/2020	EPI_ISL_433142	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1	GR
hCoV-19/Scotland/EDB1821/2020	EPI_ISL_433143	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1825/2020	EPI_ISL_433145	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB1827/2020	EPI_ISL_433147	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1828/2020	EPI_ISL_433148	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1829/2020	EPI_ISL_433149	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1830/2020	EPI_ISL_433150	2020-04-16	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1841/2020	EPI_ISL_433153	2020-04-17	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1842/2020	EPI_ISL_433154	2020-04-17	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1848/2020	EPI_ISL_433155	2020-04-17	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB1897/2020	EPI_ISL_433156	2020-04-17	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.40	GH
hCoV-19/Scotland/EDB2011/2020	EPI_ISL_433162	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2048/2020	EPI_ISL_433164	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2049/2020	EPI_ISL_433165	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB2050/2020	EPI_ISL_433166	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB2051/2020	EPI_ISL_433167	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB2052/2020	EPI_ISL_433168	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2057/2020	EPI_ISL_433169	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2062/2020	EPI_ISL_433170	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.8	GR
hCoV-19/Scotland/EDB2064/2020	EPI_ISL_433171	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			A.5	S
hCoV-19/Scotland/EDB2065/2020	EPI_ISL_433172	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			A.5	S
hCoV-19/Scotland/EDB2066/2020	EPI_ISL_433173	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2071/2020	EPI_ISL_433174	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB2077/2020	EPI_ISL_433176	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.14	GR
hCoV-19/Scotland/EDB2078/2020	EPI_ISL_433177	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2079/2020	EPI_ISL_433178	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2081/2020	EPI_ISL_433180	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.40	GH
hCoV-19/Scotland/EDB2082/2020	EPI_ISL_433181	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2083/2020	EPI_ISL_433182	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2084/2020	EPI_ISL_433183	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB2085/2020	EPI_ISL_433184	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2086/2020	EPI_ISL_433185	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.8	GR
hCoV-19/Scotland/EDB2087/2020	EPI_ISL_433186	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2088/2020	EPI_ISL_433187	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B	L
hCoV-19/Scotland/EDB2089/2020	EPI_ISL_433188	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2092/2020	EPI_ISL_433190	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1.8	GR
hCoV-19/Scotland/EDB2094/2020	EPI_ISL_433192	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1	GR
hCoV-19/Scotland/EDB2095/2020	EPI_ISL_433193	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.71	G
hCoV-19/Scotland/EDB2096/2020	EPI_ISL_433194	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1	GR
hCoV-19/Scotland/EDB2097/2020	EPI_ISL_433195	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1	G
hCoV-19/Scotland/EDB2098/2020	EPI_ISL_433196	2020-04-19	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.5	G
hCoV-19/Scotland/EDB2099/2020	EPI_ISL_433197	2020-04-18	Europe / United Kingdom / Scotland	Human	Original			OXFORD_NANOPORE GridION	unknown			B.1.1	GR
hCoV-19/Luxembourg/LNS0972189/2020	EPI_ISL_434487	2020-04-13	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	G
hCoV-19/Luxembourg/LNS1673015/2020	EPI_ISL_434488	2020-04-21	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	GH
hCoV-19/Luxembourg/LNS8742871/2020	EPI_ISL_434489	2020-04-13	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	G
hCoV-19/Luxembourg/LNS8258882/2020	EPI_ISL_434491	2020-04-14	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	G
hCoV-19/Luxembourg/LNS8655659/2020	EPI_ISL_434492	2020-04-12	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	G
hCoV-19/Luxembourg/LNS1368952/2020	EPI_ISL_434493	2020-04-11	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	G
hCoV-19/Luxembourg/LNS0188413/2020	EPI_ISL_434495	2020-04-12	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1	GH
hCoV-19/Luxembourg/LNS0361493/2020	EPI_ISL_434496	2020-04-10	Europe / Luxembourg	Human	Original			Illumina MiniSeq (Amplicon, ARTIC primer set V1)	Bowtie2, BCFtools			B.1.1.p15	GR
